سج	0633_062c.txt.gz	912	2219
سح	0633_062d.txt.gz	983	2356
سخ	0633_062e.txt.gz	723	1755
سد	0633_062f.txt.gz	966	2298
سذ	0633_0630.txt.gz	41	172
سر	0633_0631.txt.gz	2059	5016
سز	0633_0632.txt.gz	2	60
سس	0633_0633.txt.gz	66	210
سط	0633_0637.txt.gz	667	1632
سع	0633_0639.txt.gz	651	1599
سغ	0633_063a.txt.gz	112	325
سف	0633_0641.txt.gz	1660	4007
سق	0633_0642.txt.gz	697	1703
سك	0633_0643.txt.gz	1031	2504
سل	0633_0644.txt.gz	2190	5289
سم	0633_0645.txt.gz	2177	5305
سن	0633_0646.txt.gz	8710	22839
سه	0633_0647.txt.gz	695	1690
سو	0633_0648.txt.gz	2558	6387
سي	0633_064a.txt.gz	29285	71397
ش	0634.txt.gz	1	40
شؤ	0634_0624.txt.gz	118	339
شئ	0634_0626.txt.gz	29	128
شا	0634_0627.txt.gz	5590	13576
شب	0634_0628.txt.gz	1103	2698
شت	0634_062a.txt.gz	510	1222
شج	0634_062c.txt.gz	732	1743
شح	0634_062d.txt.gz	764	1869
شخ	0634_062e.txt.gz	399	994
شد	0634_062f.txt.gz	501	1225
شذ	0634_0630.txt.gz	523	1252
شر	0634_0631.txt.gz	2215	5463
شز	0634_0632.txt.gz	113	328
شص	0634_0635.txt.gz	71	222
شط	0634_0637.txt.gz	564	1382
شظ	0634_0638.txt.gz	188	497
شع	0634_0639.txt.gz	1146	2751
شغ	0634_063a.txt.gz	502	1229
شف	0634_0641.txt.gz	873	2126
شق	0634_0642.txt.gz	515	1283
شك	0634_0643.txt.gz	787	1931
شل	0634_0644.txt.gz	518	1278
شم	0634_0645.txt.gz	1227	3026
شن	0634_0646.txt.gz	863	2148
شه	0634_0647.txt.gz	1035	2530
شو	0634_0648.txt.gz	1821	4536
شي	0634_064a.txt.gz	1377	3371
ص	0635.txt.gz	1	40
صا	0635_0627.txt.gz	3950	9488
صب	0635_0628.txt.gz	955	2333
صت	0635_062a.txt.gz	15	99
صح	0635_062d.txt.gz	690	1673
صخ	0635_062e.txt.gz	116	340
صد	0635_062f.txt.gz	1194	2903
صر	0635_0631.txt.gz	1228	3008
صط	0635_0637.txt.gz	1	52
صع	0635_0639.txt.gz	761	1811
صغ	0635_063a.txt.gz	334	855
صف	0635_0641.txt.gz	1260	3062
صق	0635_0642.txt.gz	416	1025
صك	0635_0643.txt.gz	122	341
صل	0635_0644.txt.gz	987	2406
صم	0635_0645.txt.gz	825	1965
صن	0635_0646.txt.gz	812	1989
صه	0635_0647.txt.gz	588	1481
صو	0635_0648.txt.gz	1646	3996
صي	0635_064a.txt.gz	783	1937
ض	0636.txt.gz	1	40
ضؤ	0636_0624.txt.gz	21	111
ضئ	0636_0626.txt.gz	30	140
ضا	0636_0627.txt.gz	2437	5782
ضب	0636_0628.txt.gz	515	1244
ضج	0636_062c.txt.gz	193	520
ضح	0636_062d.txt.gz	360	901
ضخ	0636_062e.txt.gz	158	424
ضد	0636_062f.txt.gz	136	362
ضر	0636_0631.txt.gz	1351	3250
ضع	0636_0639.txt.gz	362	888
ضغ	0636_063a.txt.gz	421	1034
ضف	0636_0641.txt.gz	332	839
ضق	0636_0642.txt.gz	8	72
ضل	0636_0644.txt.gz	433	1075
ضم	0636_0645.txt.gz	723	1774
ضن	0636_0646.txt.gz	211	561
ضه	0636_0647.txt.gz	31	150
ضو	0636_0648.txt.gz	569	1435
ضي	0636_064a.txt.gz	523	1286
ط	0637.txt.gz	1	40
طؤ	0637_0624.txt.gz	20	107
طئ	0637_0626.txt.gz	16	104
طا	0637_0627.txt.gz	2733	6641
طب	0637_0628.txt.gz	1067	2617
طح	0637_062d.txt.gz	409	1017
طد	0637_062f.txt.gz	53	182
طر	0637_0631.txt.gz	1377	3439
طس	0637_0633.txt.gz	87	265
طش	0637_0634.txt.gz	24	137
طع	0637_0639.txt.gz	250	635
طغ	0637_063a.txt.gz	86	294
طف	0637_0641.txt.gz	864	2128
طق	0637_0642.txt.gz	278	718
طل	0637_0644.txt.gz	1674	3996
طم	0637_0645.txt.gz	841	2061
طن	0637_0646.txt.gz	604	1463
طه	0637_0647.txt.gz	328	839
طو	0637_0648.txt.gz	1451	3619
طي	0637_064a.txt.gz	654	1593
ظ	0638.txt.gz	1	40
ظا	0638_0627.txt.gz	397	1002
ظب	0638_0628.txt.gz	83	260
ظر	0638_0631.txt.gz	319	796
ظع	0638_0639.txt.gz	24	132
ظف	0638_0641.txt.gz	181	477
ظل	0638_0644.txt.gz	620	1518
ظم	0638_0645.txt.gz	225	609
ظن	0638_0646.txt.gz	159	414
ظه	0638_0647.txt.gz	193	519
ظو	0638_0648.txt.gz	30	144
ع	0639.txt.gz	1	40
عا	0639_0627.txt.gz	6896	16570
عب	0639_0628.txt.gz	1430	3490
عت	0639_062a.txt.gz	896	2145
عث	0639_062b.txt.gz	271	709
عج	0639_062c.txt.gz	1208	2918
عد	0639_062f.txt.gz	997	2374
عذ	0639_0630.txt.gz	580	1409
عر	0639_0631.txt.gz	2216	5394
عز	0639_0632.txt.gz	1139	2748
عس	0639_0633.txt.gz	807	1975
عش	0639_0634.txt.gz	646	1598
عص	0639_0635.txt.gz	1012	2471
عض	0639_0636.txt.gz	434	1045
عط	0639_0637.txt.gz	1095	2621
عظ	0639_0638.txt.gz	354	897
عف	0639_0641.txt.gz	713	1693
عق	0639_0642.txt.gz	1354	3321
عك	0639_0643.txt.gz	568	1414
عل	0639_0644.txt.gz	1708	4104
عم	0639_0645.txt.gz	1334	3270
عن	0639_0646.txt.gz	1730	4178
عه	0639_0647.txt.gz	285	737
عو	0639_0648.txt.gz	2035	5031
عي	0639_064a.txt.gz	1069	2576
غ	063a.txt.gz	1	40
غا	063a_0627.txt.gz	2679	6524
غب	063a_0628.txt.gz	375	959
غث	063a_062b.txt.gz	242	615
غج	063a_062c.txt.gz	17	106
غد	063a_062f.txt.gz	485	1187
غذ	063a_0630.txt.gz	272	683
غر	063a_0631.txt.gz	1912	4660
غز	063a_0632.txt.gz	435	1063
غس	063a_0633.txt.gz	257	674
غش	063a_0634.txt.gz	560	1319
غص	063a_0635.txt.gz	293	700
غض	063a_0636.txt.gz	491	1213
غط	063a_0637.txt.gz	685	1675
غظ	063a_0638.txt.gz	68	222
غف	063a_0641.txt.gz	465	1130
غق	063a_0642.txt.gz	30	141
غل	063a_0644.txt.gz	1451	3575
غم	063a_0645.txt.gz	789	1955
غن	063a_0646.txt.gz	389	991
غو	063a_0648.txt.gz	662	1714
غي	063a_064a.txt.gz	883	2167
ف	0641.txt.gz	1	40
فؤ	0641_0624.txt.gz	29	150
فئ	0641_0626.txt.gz	109	319
فا	0641_0627.txt.gz	63268	153454
فب	0641_0628.txt.gz	4676	15191
فت	0641_062a.txt.gz	76551	191944
فث	0641_062b.txt.gz	505	1257
فج	0641_062c.txt.gz	2718	6707
فح	0641_062d.txt.gz	3623	8748
فخ	0641_062e.txt.gz	2770	6695
فد	0641_062f.txt.gz	3372	8161
فذ	0641_0630.txt.gz	1031	2467
فر	0641_0631.txt.gz	6754	16864
فز	0641_0632.txt.gz	2014	4956
فس	0641_0633.txt.gz	80407	207610
فش	0641_0634.txt.gz	3175	7796
فص	0641_0635.txt.gz	2862	6993
فض	0641_0636.txt.gz	1894	4625
فط	0641_0637.txt.gz	2098	5128
فظ	0641_0638.txt.gz	538	1295
فع	0641_0639.txt.gz	3709	9180
فغ	0641_063a.txt.gz	1545	3681
فف	0641_0641.txt.gz	2520	6132
فق	0641_0642.txt.gz	3911	9549
